# Cross-port raw-weather facts (Phase-7 Step 4). GENERATED, do not edit.
# Source: tests/oracle/winter_wheat_weather.json (raw NASAPower facts).
# The Rust biosphere::weather reads this via include_str! and runs the
# clean-room conversions (daylength sin/acos/tan, incident_par,
# net_radiation, vpd exp) ITSELF, exercising the weather libm cross-port.
# day_of_year is a calendar computation (tm_yday), not a libm op, so it
# is precomputed. Regenerate via gen_biosphere_weather.py.
#
latitude	0x1.a000000000000p+5
# doy	temp_c	irrad_j_m2_day	vap_hpa
148	0x1.95c28f5c28f5cp+3	0x1.3488600000000p+23	0x1.99077272edacap+3
149	0x1.5b33333333333p+3	0x1.6b28c00000000p+23	0x1.544226486fe5ap+3
150	0x1.b8f5c28f5c28fp+3	0x1.7ed7d00000000p+24	0x1.59ddc9c2f590ap+3
151	0x1.ea3d70a3d70a4p+3	0x1.1c93900000000p+24	0x1.a7b658326bf12p+3
152	0x1.091eb851eb852p+4	0x1.6e36000000000p+24	0x1.c593dfe1b62d4p+3
153	0x1.1a8f5c28f5c29p+4	0x1.753ae00000000p+24	0x1.d10dca96147e4p+3
154	0x1.199999999999ap+4	0x1.ec8dc00000000p+23	0x1.ff38c01eb1c75p+3
155	0x1.20f5c28f5c28fp+4	0x1.5493800000000p+24	0x1.ecef845b54341p+3
156	0x1.1cccccccccccdp+4	0x1.3b18100000000p+24	0x1.009b9e017ecedp+4
157	0x1.1bae147ae147bp+4	0x1.9d83600000000p+23	0x1.fde56538b044cp+3
158	0x1.43d70a3d70a3dp+4	0x1.11e5300000000p+24	0x1.37cf3550c7eb5p+4
159	0x1.4d47ae147ae14p+4	0x1.1bf7500000000p+24	0x1.5868d6970578dp+4
160	0x1.2fd70a3d70a3dp+4	0x1.ae9a600000000p+23	0x1.28ecff32b05adp+4
161	0x1.2c00000000000p+4	0x1.acc5a00000000p+23	0x1.2141f5ed1c8c5p+4
162	0x1.3f851eb851eb8p+4	0x1.1037800000000p+24	0x1.27cae7ca2cdafp+4
163	0x1.1570a3d70a3d7p+4	0x1.b466c00000000p+22	0x1.0bcd764dd6945p+4
164	0x1.1deb851eb851fp+4	0x1.e4eca00000000p+23	0x1.fa442589f946cp+3
165	0x1.29c28f5c28f5cp+4	0x1.75d7200000000p+23	0x1.2084d86973149p+4
166	0x1.1d70a3d70a3d7p+4	0x1.c61a000000000p+23	0x1.1134f939a4c60p+4
167	0x1.0733333333333p+4	0x1.14a4500000000p+24	0x1.ede6850943862p+3
168	0x1.0b5c28f5c28f6p+4	0x1.f826800000000p+23	0x1.e3b19234805a3p+3
169	0x1.10a3d70a3d70ap+4	0x1.be2ac00000000p+23	0x1.0b75088b49ceep+4
170	0x1.351eb851eb852p+4	0x1.9630600000000p+24	0x1.fa98621dee122p+3
171	0x1.319999999999ap+4	0x1.624f200000000p+24	0x1.072c15a61b31ep+4
172	0x1.0ca3d70a3d70ap+4	0x1.607a600000000p+23	0x1.ef30843b3619bp+3
173	0x1.ffae147ae147bp+3	0x1.16a0200000000p+24	0x1.ecef845b54341p+3
174	0x1.019999999999ap+4	0x1.19d4700000000p+24	0x1.f3130bf2885f3p+3
175	0x1.ee66666666666p+3	0x1.9064000000000p+23	0x1.dbd94e73909edp+3
176	0x1.f51eb851eb852p+3	0x1.b243e00000000p+23	0x1.d9fb997263524p+3
177	0x1.8cccccccccccdp+3	0x1.87d8800000000p+23	0x1.7724f3f8c7b48p+3
178	0x1.ac28f5c28f5c3p+3	0x1.43f1b00000000p+24	0x1.61785a1d09eefp+3
179	0x1.d19999999999ap+3	0x1.7d03100000000p+24	0x1.709f4390db255p+3
180	0x1.e051eb851eb85p+3	0x1.1b34000000000p+23	0x1.d246cf587789ep+3
181	0x1.0ca3d70a3d70ap+4	0x1.0c3fe00000000p+24	0x1.f5addd4eeac38p+3
182	0x1.2828f5c28f5c3p+4	0x1.2323400000000p+24	0x1.10811762a7406p+4
183	0x1.10a3d70a3d70ap+4	0x1.2238e00000000p+24	0x1.f6550b9bf3c7ap+3
184	0x1.ec28f5c28f5c3p+3	0x1.f344800000000p+23	0x1.d509bec672743p+3
185	0x1.e147ae147ae14p+3	0x1.022dc00000000p+24	0x1.d0bfa63ffd12bp+3
186	0x1.fd1eb851eb852p+3	0x1.3f84e00000000p+24	0x1.d9ac24441b0fdp+3
187	0x1.f75c28f5c28f6p+3	0x1.a524800000000p+22	0x1.cd1973f1bce1ap+3
188	0x1.0333333333333p+4	0x1.4418c00000000p+24	0x1.d1aa35df2b256p+3
189	0x1.0cccccccccccdp+4	0x1.5fde200000000p+24	0x1.bfa354a3ea15ep+3
190	0x1.cd70a3d70a3d7p+3	0x1.1d2fd00000000p+24	0x1.b804c949d4abep+3
191	0x1.d1eb851eb851fp+3	0x1.6005300000000p+24	0x1.b1f2b351f3ae8p+3
192	0x1.dfae147ae147bp+3	0x1.7191600000000p+23	0x1.c845e16c59269p+3
193	0x1.0a147ae147ae1p+4	0x1.cfde000000000p+23	0x1.f6a8b5161ac81p+3
194	0x1.4333333333333p+4	0x1.1121e00000000p+24	0x1.3866fbda76fc0p+4
195	0x1.3a147ae147ae1p+4	0x1.2e1fc00000000p+24	0x1.1ff7496ce068bp+4
196	0x1.5d1eb851eb852p+4	0x1.ad13c00000000p+23	0x1.37053bbc64c8ap+4
197	0x1.6333333333333p+4	0x1.c7a0a00000000p+23	0x1.537c65cf707ecp+4
198	0x1.270a3d70a3d71p+4	0x1.4fb1800000000p+24	0x1.03738d6bcabfep+4
199	0x1.23851eb851eb8p+4	0x1.6694e00000000p+24	0x1.f4b37366c550bp+3
200	0x1.307ae147ae148p+4	0x1.681b800000000p+24	0x1.fde56538b044cp+3
201	0x1.119999999999ap+4	0x1.4a33400000000p+22	0x1.179a4dbe7e3bep+4
202	0x1.12b851eb851ecp+4	0x1.52e5d00000000p+24	0x1.d6e3133c68136p+3
203	0x1.f800000000000p+3	0x1.0625600000000p+24	0x1.c3c9dc9a89f33p+3
204	0x1.f3851eb851eb8p+3	0x1.51d4600000000p+23	0x1.e30fd8e9697fcp+3
205	0x1.f570a3d70a3d7p+3	0x1.0589200000000p+24	0x1.e8c60f1d4f61dp+3
206	0x1.1d70a3d70a3d7p+4	0x1.41f5e00000000p+24	0x1.f3663b7e50cf0p+3
207	0x1.2028f5c28f5c3p+4	0x1.4244000000000p+23	0x1.138067174b739p+4
208	0x1.135c28f5c28f6p+4	0x1.34fd900000000p+24	0x1.df99ad1e49df8p+3
209	0x1.111eb851eb852p+4	0x1.271ae00000000p+24	0x1.fd3c01efebed5p+3
210	0x1.d51eb851eb852p+3	0x1.c04da00000000p+23	0x1.b899c925b351dp+3
211	0x1.b428f5c28f5c3p+3	0x1.32dab00000000p+24	0x1.73dee36549598p+3
212	0x1.d70a3d70a3d71p+3	0x1.2bfce00000000p+24	0x1.745f66aaad958p+3
213	0x1.0828f5c28f5c3p+4	0x1.6646c00000000p+24	0x1.a7fe6464367c9p+3
